iso3c,year,gdppc,tax_gdp,pop
BGR,2020,10760.211975413,20.1966624707302,6550696
BGR,2021,12966.1457543396,20.5917857007665,6507301
BGR,2022,13999.1949530956,21.7263560549334,6465097
BFA,2024,981.992649769081,NA,23548781
BFA,2021,895.535288442991,16.0197877797196,21995243
BFA,2012,731.470138867833,13.889962428562,17172287
BFA,2022,827.330843486661,17.8607653483496,22509038
BFA,2017,709.091535894695,15.2607212238254,19894407
BFA,2020,825.237038782475,13.7423701755588,21478690
BFA,2015,630.124750752312,13.2802007030138,18777487
BFA,2023,873.482589651003,18.5514879980901,23025776
BFA,2016,663.742364842886,14.1391533049498,19334856
BFA,2018,777.465618514048,15.2924120796082,20438288
BFA,2019,764.853077774946,15.6406078587093,20961952
BFA,2013,759.762065168498,14.9486419589637,17695409
BFA,2014,764.861675106225,13.6638275123117,18229461
BDI,2016,232.937812100153,14.0031515072636,11239451
BDI,2015,254.402585226788,14.4989724758888,11047580
BDI,2024,219.424830882698,NA,14047786
BDI,2014,250.544492155185,13.6898075514221,10799785
BDI,2012,231.098787811507,14.5331459203268,10071028
BDI,2023,250.627253097255,NA,13689450
BDI,2022,302.992505263552,NA,13321097
BDI,2019,234.31061590725,13.5121247978402,12255336
BDI,2017,246.060725714184,13.8214527654461,11506762
BDI,2013,234.844770150871,13.4877674722013,10439341
BDI,2020,255.8324539389,12.9599323354184,12617036
BDI,2018,245.661678332009,NA,11859446
BDI,2021,264.980379269655,12.6333374627504,12965481
CPV,2018,4294.96510035729,18.93160633834,513415
CPV,2016,3608.96605234906,16.7252781347498,512554
CPV,2022,4323.31362032709,NA,519741
CPV,2017,3893.09571382506,17.8036383653429,512893
CPV,2019,4380.78117331128,18.2240332376635,514104
CPV,2020,3539.22661248299,18.3857032911625,514679
CPV,2015,3415.06266730931,17.1355967777829,512394
CPV,2012,3736.81517011087,16.281082729264,511955
CPV,2013,3960.97596791345,16.270355465039,512225
CPV,2021,3971.44409203423,NA,516649
CPV,2023,4794.90121917259,NA,522331
CPV,2014,3985.60706548134,15.5325588996425,512326
CPV,2024,5192.48157325878,NA,524877
KHM,2014,1431.56396469993,11.08378844624,15396772
