Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Philippines,PHL,Government Effectiveness: Estimate,GE.EST,0.0709009245038033,0.189581170678139,0.205686181783676,0.205928966403008,0.31771445274353,0.160157755017281,0.0184973310679197,-0.0349111147224903,0.062349122017622,0.059953011572361,0.0678123831748962,0.0347901321947575,0.063930444419384,0.154091909527779
Philippines,PHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.65075957775116,-1.39218163490295,-1.18824028968811,-1.08425319194794,-0.713820934295654,-0.854724228382111,-1.37869036197662,-1.18929100036621,-1.09620380401611,-0.9280606508255,-0.778704285621643,-0.984022319316864,-0.655268549919128,-0.566050469875336
Philippines,PHL,Regulatory Quality: Estimate,RQ.EST,-0.215251356363297,-0.160969600081444,0.0405046008527279,0.0231475681066513,0.0773035287857056,0.0541701726615429,0.112924449145794,0.127081677317619,0.0287664085626602,0.100199609994888,0.113156676292419,0.0623732283711433,0.0627855956554413,0.16425496339798
Philippines,PHL,Rule of Law: Estimate,RL.EST,-0.553793609142303,-0.506389260292053,-0.522410273551941,-0.469005644321442,-0.369522929191589,-0.417368292808533,-0.431536346673965,-0.501289486885071,-0.565135478973389,-0.57440197467804,-0.652070105075836,-0.666802585124969,-0.518263161182404,-0.41814711689949
Sri Lanka,LKA,Government Effectiveness: Estimate,GE.EST,-0.201909422874451,-0.109467715024948,-0.204318970441818,-0.166648373007774,0.0687629878520966,-0.00596386613324285,-0.0275178775191307,-0.174112945795059,-0.25662025809288,-0.12496567517519,-0.079082652926445,-0.115272410213947,-0.391961753368378,-0.25227889418602
Sri Lanka,LKA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.94294685125351,-0.724771440029144,-0.717079222202301,-0.612895429134369,-0.330464035272598,0.0831826627254486,-0.0113400500267744,-0.0754480063915253,-0.139304608106613,-0.21553660929203,-0.089128851890564,-0.376773029565811,-0.80430680513382,-0.508541285991669
Sri Lanka,LKA,Regulatory Quality: Estimate,RQ.EST,-0.248191311955452,-0.131351128220558,-0.125741094350815,-0.166235014796257,-0.108953259885311,-0.0587588995695114,-0.123026698827744,-0.162278667092323,-0.217681854963303,-0.232445597648621,-0.225914791226387,-0.389435440301895,-0.65364283323288,-0.507761836051941
Sri Lanka,LKA,Rule of Law: Estimate,RL.EST,-0.118414133787155,-0.117064774036407,-0.114084355533123,-0.265521496534348,-0.14915905892849,0.0323726981878281,0.107386812567711,0.0275164842605591,-0.000145817248267122,0.0398785844445229,-0.0058447914198041,0.0169121492654085,-0.0580026134848595,-0.0906768143177032
Thailand,THA,Government Effectiveness: Estimate,GE.EST,0.0832910686731339,0.099299393594265,0.130159914493561,0.16293603181839,0.256995350122452,0.238737538456917,0.22570513188839,0.257845818996429,0.254539996385574,0.260609537363052,0.201812535524368,0.220056802034378,0.127444162964821,0.171705812215805
Thailand,THA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.44278836250305,-1.13353371620178,-1.21663069725037,-1.31168270111084,-0.906386315822601,-0.995044946670532,-0.991300225257874,-0.754879415035248,-0.799416124820709,-0.491406112909317,-0.578270494937897,-0.56877988576889,-0.393339306116104,-0.280302882194519
Thailand,THA,Regulatory Quality: Estimate,RQ.EST,0.0618106834590435,0.0903827995061874,0.137224212288857,0.130639657378197,0.174806475639343,0.195901736617088,0.0528686940670013,0.0076168579980731,-0.0440966561436653,-0.0219450928270817,0.0636607557535172,0.0835350751876831,0.165019407868385,0.158257782459259
Thailand,THA,Rule of Law: Estimate,RL.EST,-0.233622625470161,-0.229752525687218,-0.172369107604027,-0.139277547597885,-0.220402136445045,-0.188114643096924,-0.0282307099550962,0.013869789429009,-0.00403118878602982,0.0887417942285538,0.111505389213562,0.0937988311052322,0.0657474175095558,0.244872748851776
Viet Nam,VNM,Government Effectiveness: Estimate,GE.EST,-0.242955058813095,-0.209270849823952,-0.248135596513748,-0.245401605963707,-0.0470734238624573,0.0631621554493904,-0.0174771249294281,-0.0333407856523991,-0.0117206163704395,0.0278810821473598,0.193557769060135,0.243436112999916,0.174635261297226,0.126466900110245
Viet Nam,VNM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.148407876491547,0.189088448882103,0.267358660697937,0.25057727098465,-0.0223473571240902,0.0638082250952721,0.226832523941994,0.211102172732353,0.0330829620361328,0.0399874038994312,-0.0389890633523464,-0.117782436311245,-0.0461320951581001,-0.0363807342946529
Viet Nam,VNM,Regulatory Quality: Estimate,RQ.EST,-0.631919384002686,-0.609958648681641,-0.676629722118378,-0.65251749753952,-0.602058231830597,-0.505210995674133,-0.502611756324768,-0.433779716491699,-0.372491270303726,-0.375260800123215,-0.236916333436966,-0.404661357402802,-0.429956316947937,-0.382607728242874
Viet Nam,VNM,Rule of Law: Estimate,RL.EST,-0.581304907798767,-0.541880786418915,-0.55492377281189,-0.515209794044495,-0.360228449106216,-0.355004519224167,0.0653154402971268,0.0403859280049801,-0.0354671441018581,-0.050392884761095,-0.189501881599426,-0.172221630811691,-0.158469453454018,-0.0854718759655952
Georgia,GEO,Government Effectiveness: Estimate,GE.EST,0.327387809753418,0.578812718391418,0.63056617975235,0.606947124004364,0.424183517694473,0.263111501932144,0.420896291732788,0.481504321098328,0.518133521080017,0.766199469566345,0.716738402843475,0.616529405117035,0.650143086910248,0.791285872459412
Georgia,GEO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.718320906162262,-0.65695196390152,-0.680453956127167,-0.441366165876389,-0.321507543325424,-0.472153753042221,-0.320115089416504,-0.375214755535126,-0.447562873363495,-0.498171955347061,-0.429610639810562,-0.429620236158371,-0.43653005361557,-0.335554122924805
Georgia,GEO,Regulatory Quality: Estimate,RQ.EST,0.586639821529388,0.651625037193298,0.664130926132202,0.72580498456955,0.760027527809143,0.750866293907166,0.861489713191986,0.949060201644897,1.03199064731598,1.02652418613434,1.00116765499115,1.05341958999634,1.0323086977005,0.946578145027161
Georgia,GEO,Rule of Law: Estimate,RL.EST,-0.205984979867935,-0.119617037475109,-0.00621734838932753,0.00490995636209846,0.224748969078064,0.22280541062355,0.335771918296814,0.262742727994919,0.270510762929916,0.248691543936729,0.222878128290176,0.14443676173687,0.16946941614151,0.177279338240623
Kazakhstan,KAZ,Government Effectiveness: Estimate,GE.EST,-0.492905259132385,-0.511159062385559,-0.525388717651367,-0.620734989643097,-0.0820106193423271,-0.146881282329559,-0.142129123210907,-0.065825566649437,-0.0420836359262466,0.068847119808197,0.105691097676754,0.0297293178737164,0.142756044864655,0.146814674139023
Kazakhstan,KAZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.52297180891037,-0.338570564985275,-0.408455014228821,-0.402473896741867,0.0360181555151939,-0.0383530743420124,0.00146297342143953,0.0243496801704168,-0.0524022579193115,-0.168037340044975,-0.257566839456558,-0.232230722904205,-0.4683538377285,-0.27334600687027
Kazakhstan,KAZ,Regulatory Quality: Estimate,RQ.EST,-0.283094167709351,-0.235385775566101,-0.390580028295517,-0.375282853841782,-0.239125564694405,-0.0906946510076523,-0.161230459809303,0.154857650399208,0.0946238711476326,0.107311986386776,0.106146551668644,0.077017717063427,-0.0112340543419123,0.0659545287489891
Kazakhstan,KAZ,Rule of Law: Estimate,RL.EST,-0.695639729499817,-0.641633808612823,-0.772899031639099,-0.716409802436829,-0.609486997127533,-0.515273213386536,-0.513149499893188,-0.48727560043335,-0.503466427326202,-0.510017037391663,-0.467089861631393,-0.508970081806183,-0.474670082330704,-0.446781367063522
