iso3c,year,country,region,gdppc,tax_gdp,pop,GE,PV,RQ,oda_bio_total,oda_bio_weighted_pc
KAZ,2021,Kazakhstan,Europe and Central Asia,9983.60103576902,9.44711136309549,19743603,0.0297293178737164,-0.232230722904205,0.077017717063427,511804.60000000003,0.02592255324420776
KAZ,2022,Kazakhstan,Europe and Central Asia,11255.3396437881,12.0616921084291,20034609,0.142756044864655,-0.4683538377285,-0.0112340543419123,699216.7999999999,0.034900446522315456
KAZ,2023,Kazakhstan,Europe and Central Asia,12879.4275257974,11.892477417904,20330104,0.146814674139023,-0.27334600687027,0.0659545287489891,635741.4,0.03127093693175401
KAZ,2024,Kazakhstan,Europe and Central Asia,14154.6324958076,NA,20592571,NA,NA,NA,NA,NA
KGZ,2010,Kyrgyzstan,Europe and Central Asia,NA,NA,NA,-0.656763851642609,-1.0396523475647,-0.261394619941711,1871067.6,NA
KGZ,2011,Kyrgyzstan,Europe and Central Asia,NA,NA,NA,-0.636238276958466,-1.09803068637848,-0.223706394433975,2187165.6,NA
KGZ,2012,Kyrgyzstan,Europe and Central Asia,1168.62244675446,NA,5652076,-0.64659321308136,-0.911251366138458,-0.34460785984993,1882566.4,0.333075209887482
KGZ,2013,Kyrgyzstan,Europe and Central Asia,1269.66303464348,NA,5777150,-0.649990081787109,-0.911773800849915,-0.325828105211258,2163329.2,0.37446304838891153
KGZ,2014,Kyrgyzstan,Europe and Central Asia,1264.52668823891,17.5486530868942,5905848,-0.871007263660431,-0.804615676403046,-0.450190424919128,7341883.6,1.2431548526138836
KGZ,2015,Kyrgyzstan,Europe and Central Asia,1105.65193844261,16.801668055009,6040036,-0.978849112987518,-0.882429659366608,-0.536658465862274,251089.6,0.041570878054369216
KGZ,2016,Kyrgyzstan,Europe and Central Asia,1103.27489428412,16.9491731803417,6175338,-0.965182244777679,-0.652019679546356,-0.386156380176544,795400.6,0.1288027635086533
KGZ,2017,Kyrgyzstan,Europe and Central Asia,1221.39046807082,17.0462850607483,6306696,-0.75117963552475,-0.362505912780762,-0.379888355731964,760408.2,0.12057156393775757
